Seq,Province,Number of rooms per person  ,Toilet presence percentage in dwellings,Percentage of house holds having problems with quality of dwellings,Employment rate,Unemployment rate,Average daily earnings,Job satisfaction rate,Savings deposit per capita,Percentage of house holds in middle or higher income groups,Percentage of house holds declaring to fail on meeting basic needs,Infant mortality rate,Life expectancy at birth,Number of applications per doctor ,Satisfication rate with health status,Satisfication rate with public health services,Net schooling ratio of pre-primary education between the ages of 3and5,Average point of placement basic scores of the system for Transition to Secondary Education from Basic Education,Average points of the Transition to Higher Education Examination,Percentage of higher education graduates,Satisfaction rate with public education services,Average of PM10 values of the stations (airpollution),Forest area per km2,Percentage of population receiving waste services,Percentage of households having noise problems from the streets,Satisfaction rate with municipal cleaning services,Murder rate (per million people),Number of traffic accidents involving death or injury (per thousand people),Percentage of people feeling safe when walking alone at night,Satisfication rate with public safety services,Voter turnout at local administrations,Rate of membership to political parties,Percentage of persons interested in union/association activities,Number of internet subscriptions (per hundred persons) ,Access rate of population to sewerage and pipesystem,Access rate to airport,Satisfaction rate with municipal public transport services,Number of cinema and theatre audience (per hundred persons),Shopping mall area per thousand people,Satisfication rate with social relations,Satisfication rate with social life,Level of happiness,Hopeful,Life Satisfaction Index,Life Expectancy Total,Life Expectancy Male,Life Expectancy Female
1,Adana,1.22,86.34,22.73,43.3,13.2,59.06489071,73.32,5427.724944,34.06,59.77,13.18144013,77.39334711,5323.229963,68.47,72.47,28.42110996,281.8823,200.4602995,14.21352514,63.85,44.75,42.09426466,97.93920378,25.53,59.64,42.94431784,2.26219584,53.11,76.61,88.1,20.61238337,7.6,9.737647159,91.50000346,7449.761905,56.34,73.09044397,82.44524022,81.9,46.74,53,70.38,0.308856502,77.39334711,74.53896573,80.23682113
2,Adiyaman,0.93,77.07,41.12,39.2,9.1,53.24281389,64.26,1542.666455,16.27,74.77,12.06148415,79.54820398,7437.146774,69.13,74.62,29.97829354,289.2975,197.0775538,12.28869049,69.01,71,25.23429194,65.94184516,19.39,36.68,18.39972568,1.76302826,73.59,82.75,87.2,22.28865366,6.98,3.714904614,67.71592496,74.32692308,36.72,2.903811252,0,81.82,56.88,65.01,76.57,0.645459641,79.54820398,76.56770349,82.49488026
3,Afyonkarahisar,1.36,90.2,12.9475,51.1,5.6,53.91157275,85.34,4062.055209,29.73,44.08,9.572374307,76.99211759,5727.391389,80.07,87.33,31.8043159,295.5051,195.4769668,10.78079479,88.89,81,17.00071347,73.07243219,6.48,77.61,29.72941981,2.815800762,87.23,91.15,92,19.95792106,5.71,7.035254845,71.86775788,11.96943973,74.24,34.91762827,119.9086599,94.04,70.29,76.43,82.97,0.965526906,76.99211759,74.62706791,79.35049314
4,Agri,0.84,64.06,40.475,53.2,6.8,56.10803549,63.97,842.0468299,22.56,73.54,14.43298969,75.62829517,6719.994012,66.2,63.31,25.43312155,233.6633,189.906445,8.618257809,65.27,47,0.532029913,56.18963117,12.92,35.94,29.12082412,1.301336828,57.88,76.91,77.1,18.63778272,6.36,2.163495227,50.36373729,167.0238095,48.54,6.321948911,0,90.04,46.16,60.09,73.49,0.507567265,75.62829517,73.69455812,77.50720013
5,Aksaray,1.32,81.01,19.7125,47.2,5.8,55.65699002,85.71,5611.986405,32.97,48.54,11.56661786,78.19030599,7447.743073,72.78,81.6,30.94154501,296.9616,199.5314257,10.05688805,81.09,61,1.693171432,75.97236969,16.81,56.17,13.01229402,3.234856292,62.24,89.56,87.3,18.82033134,4.19,7.197620312,70.82890915,26.85576923,39.27,20.96618886,57.50913463,91.66,63.05,67.84,82.02,0.724775785,78.19030599,75.49143221,80.80190005
6,Amasya,1.4,95.03,16.855,47.4,6.6,53.77364817,88.73,3120.979892,34.79,43.75,15.38461538,77.76714139,8067.414698,74.16,86.51,47.13294911,317.3954,195.5414082,13.43080158,87.53,29,39.17377399,69.98940708,12.83,74.43,21.74500564,3.081577942,67.49,92.29,91.2,22.10147467,5.42,8.610090304,68.99053471,21.74442191,73.36,19.25520249,0,92.76,62.71,66.02,81.54,0.673766816,77.76714139,74.95875649,80.64137546
7,Ankara,1.57,98.68,15.8425,44.5,10.2,70.14221779,78.86,11461.9481,58.91,42.38,6.958850871,79.37351654,2763.261636,71.76,68.11,35.3380284,317.5765,187.0742455,22.65267959,57.97,63.375,15.50319913,99.40035401,26.98,73.87,19.22303222,2.280550641,51.06,71.55,90.9,18.83920983,8.15,17.66355888,97.49999612,2750.615942,62.19,125.9072106,284.0053498,81.05,51.25,56.23,75.5,0.399383408,79.37351654,76.74434311,81.89268087
8,Antalya,1.38,96.65,14.855,52.9,7.9,59.50882125,78.62,8352.924238,45.53,48.66,8.913018232,79.22075264,4392.388216,68.45,68.74,41.69565685,319.1132,204.3425248,16.12344677,62.24,53,55.82653516,98.71509096,28.65,73.01,27.89573474,3.21340867,52.54,75.97,89.8,17.50712156,6.75,14.3453366,89.0000144,3091.608102,54.2,85.78199393,148.1393995,78.23,50.45,49.79,71.2,0.218890135,79.22075264,76.62472241,81.97421082
9,Ardahan,0.99,50.31,44.725,59.1,5.8,54.06447158,70.19,2127.835808,18.23,71.17,11.10425663,76.57267686,5043.516393,64.6,72.38,35.78700078,270.097,178.6017868,10.49343964,72.76,33,6.232873936,35.70593895,8.15,39.67,29.75924769,2.281542323,69.04,84.12,84.3,21.78754476,7.93,5.750478628,31.10882957,28.99676375,46.01,6.656151732,0,90.4,43.37,60.71,75.02,0.524943946,76.57267686,73.52763838,79.92487072
10,Artvin,1.62,94.24,19.6775,47.1,7.1,66.47994277,84.92,3736.530052,37.72,39.96,7.759456838,79.28026387,6300.7343,80.05,80.13,43.45658496,306.1754,188.084628,14.26577216,83.15,21,54.23319356,60.83489515,15.18,74.8,17.68096467,2.162971345,81.63,94.86,87.7,25.24265224,12.32,9.938470243,56.80245648,0,65.34,34.40892535,32.4151019,94.17,62.13,62.72,83.71,0.581278027,79.28026387,76.00028589,82.73732506
11,Aydin,1.45,78.59,17.9825,51.4,6.9,53.88807029,81.55,6738.809515,34.91,49.94,9.169562967,78.70216756,4953.537811,73.38,78.03,40.0098668,304.4116,202.502807,13.97641965,70.83,65,38.82836373,98.19216318,14.37,77.33,38.3884896,2.953994274,63.26,82.23,90.7,17.85470157,4.98,10.99523119,89.9999904,632.8362878,63.85,64.41991633,128.7377193,85.4,52.14,53.46,73.86,0.321748879,78.70216756,75.74863738,81.75604776
12,Balikesir,1.55,88.64,16.6825,44.4,6,56.02255502,86.94,6583.071291,29.66,45.03,7.10652304,77.60815084,6702.474425,75.44,83.01,37.30995966,316.1707,199.8566062,14.16362546,82.68,50,44.84337928,90.15307088,15.45,73.42,26.91208243,3.069659402,76.3,88.73,91.3,19.16005465,5.71,12.0787313,88.49996258,33.751864,74.07,58.47625471,69.77630172,90.52,74.95,70.73,85.95,0.805773543,77.60815084,74.79281648,80.56992674
13,Bartin,1.53,99.55,18.1,54.9,6.2,54.57163014,85.26,5818.061825,50.61,49.42,12.25382932,77.63596828,8010.771186,73.75,81.28,37.52462834,298.6059,194.5417802,10.74531863,78.59,56,47.30772532,46.16116259,14.75,77.17,15.839075,2.6609646,76.73,91.26,88.7,16.45252443,9.1,10.00554368,45.60888044,0.170454545,68.96,39.11195586,0,89.71,65.94,60.39,77.13,0.515975336,77.63596828,74.77982769,80.6138567
14,Batman,0.84,85.85,32.19,27.8,23.4,59.23294482,64.97,1594.431781,28.74,74.95,15.63345966,78.71291645,5691.4704,68.1,70.14,26.94591321,253.6579,196.8227602,12.28621132,66.28,90,15.43019879,78.1957252,20.06,47.14,16.14080521,1.122682674,48.57,70.9,84.5,20.11236028,4.34,3.700010581,74.41682374,168.5,49.63,30.86319233,35.86845602,90.32,35.71,52.27,73.97,0.288396861,78.71291645,75.36154702,81.86424092
15,Bayburt,1.21,96.93,20.3125,48.1,6.2,53.47756661,76.49,2097.187589,38.92,44.04,12.63823065,77.54213323,5311.190476,74.29,75.71,29.1147541,307.8398,201.9849988,12.77651396,72.93,53,3.834223171,61.77999429,8.73,48.41,12.40587046,3.299961542,85.95,82.59,86.9,18.09719182,8.24,7.050256181,61.13550932,0,52.15,3.907849194,0,91.67,46.73,75.91,85.5,0.950952915,77.54213323,74.43042292,80.84432433
16,Bilecik,1.53,97.29,12.7725,48.2,6.5,67.12187853,85.23,3175.781827,41.44,40.48,8.787989747,77.66032806,7752.230088,74.01,81.52,39.64804897,314.3494,198.0638718,13.91414247,76.8,54.5,54.71380713,81.62427534,11.56,79.88,9.5272121,2.934381327,75.59,89.91,92.4,20.72069274,7.68,12.6445159,80.29510539,26.0546875,70.5,19.27355008,72.14957723,91.77,49.39,63.55,83.87,0.604540359,77.66032806,74.79396128,80.64910847
17,Bingol,1.16,87.94,27.835,50.8,7,54.21276478,71.2,1579.511238,23.35,55.87,14.45578231,77.79755701,5626.816794,69.28,66.76,28.73755476,292.4855,193.4563098,11.75819881,68.26,30,33.0992004,60.56418902,15.78,39.91,11.27738996,1.868287604,66.56,84.12,84.2,25.53689562,8.26,3.481330281,59.15423334,112.8421053,42.56,23.53967198,0,90.88,52.41,59.49,77.29,0.490751121,77.79755701,75.47077789,80.17789782
18,Bitlis,0.91,88.39,40.71,41.5,10.6,54.89353289,70.97,838.5050721,26.51,65.81,14.12647611,77.53307748,5983.897361,70.77,72.52,30.66441217,263.4565,193.3961787,11.39403687,68.97,53,19.45502773,59.52392293,16.09,47.23,26.62540715,1.508773072,57.86,85.74,83.9,27.40678345,8.46,3.375214113,57.49386876,28.72062663,49.23,9.076009621,29.58378572,91.83,49.71,59.09,70.35,0.479540359,77.53307748,75.02746661,79.95872716
19,Bolu,1.47,99.92,9.38,50,9.6,58.22535036,85.37,4500.008778,44.59,38.9,6.798866856,79.2030552,4329.943953,75.02,85.03,39.0312747,318.0592,197.9576132,14.22768509,81.47,78,61.8663539,67.37265835,9.52,75.46,14.04548631,3.283132424,72.7,90.09,90.7,18.60144961,3.87,12.39163029,70.07258005,0,56.28,48.93026065,267.215377,91.13,56.33,70.15,85.53,0.789517937,79.2030552,76.47998865,81.93931144
20,Burdur,1.54,86.46,13.53,54.9,6.9,55.48069384,82.45,5212.177596,31,46.56,13.82636656,78.62460291,6774.477477,75.56,78.84,42.36111111,328.8112,203.7832213,13.44255746,74.63,46,45.20752613,67.85167654,15.79,74.29,23.35557303,3.732999089,77.54,87.15,92.2,18.22233663,5.22,9.555932705,63.89578743,20.70336391,52.39,21.54045575,0,86.24,68.43,56.81,76.84,0.415639013,78.62460291,75.93876201,81.29738982
21,Bursa,1.36,96.14,17.465,48,6.6,64.06038705,82.83,6326.011582,42.79,46.66,8.577420647,77.47802615,5619.865153,76.21,77.3,35.46988895,310.5943,202.2374738,14.4564139,73.45,85.25,44.79145473,99.77514933,26.32,75.45,16.86075065,2.196561196,62.02,82.79,90.6,17.31761462,7.06,13.50456442,99.500007,27.33606557,72.23,101.046945,137.7666824,87.63,61.17,61.1,78.74,0.535874439,77.47802615,74.91731293,80.08474319
22,Canakkale,1.54,86.7,17.79,45,6.1,57.9861067,81.86,5232.267141,31.35,46.16,7.51604033,77.66105111,5237.780069,70.13,79.8,41.65358451,319.3542,199.491824,15.19165302,75.53,48,53.07446267,64.45486235,13.47,70.41,19.53926415,2.780437289,76.83,87.05,90.7,18.50624503,6.43,14.13743918,65.75314094,855.2631579,61.25,63.54051466,103.397878,87.54,64.77,63.63,80.99,0.606782511,77.66105111,74.42192143,81.16923364
23,Cankiri,1.59,93.7,16.005,42.4,6.8,58.59233731,78.26,3195.695996,39.1,42.39,9.896729776,78.19314799,6221.372727,74.63,81.77,39.45185719,306.2212,192.9323478,11.46142003,79.57,34,25.47958101,69.68139472,8.25,57.49,10.89621357,3.203486788,77.57,91.5,89.6,21.52765013,8.53,7.862707709,70.72487061,6.953703704,52.13,35.70689186,78.99754835,91.18,45.36,73.5,79.76,0.883408072,78.19314799,75.27891365,81.25877236
24,Corum,1.46,92.02,20.3825,48.9,5.9,52.45183982,72.3,3821.545086,30.68,53.33,9.547530095,78.33285146,6765.250391,63.07,78.17,34.79912513,313.1912,200.5540497,10.80914076,69.15,45,35.51818474,71.22892531,9.66,65.84,36.03808657,3.150487463,69.19,83.84,89.3,31.57389366,5.31,7.400136565,71.08190129,15.92867756,53.82,32.31971473,0,90.46,45.29,56.56,71.48,0.408632287,78.33285146,75.64915557,81.07090927
25,Denizli,1.39,88.49,15.7025,54,6.5,52.85337446,84.07,7142.261163,39.03,44.46,7.934790449,78.84822301,5343.871041,75.64,80.1,41.45831411,320.0892,204.0042675,13.61493486,71.74,72,46.28127575,99.45701236,15.58,79.47,32.69643405,3.215489936,62.94,83.83,92.5,20.24896996,5.31,11.14713395,90,60.90322581,58.49,101.0767344,129.8620619,85.37,55.87,56.74,73.97,0.41367713,78.84822301,76.13499527,81.54614833
26,Diyarbakir,0.91,86.38,28.045,30.2,18.7,55.07728912,71.56,1509.587486,28.78,72.44,14.03093183,78.186942,4239.774141,65.21,70.79,29.24677889,251.5388,195.2519568,11.93845765,66.12,62,23.26120781,93.53095934,26.63,53.42,36.69617039,1.321673737,51.01,73.91,82,17.31066655,5.19,3.705273484,96.99999633,3543.684211,57.65,38.94900945,120.3481488,85.85,29.5,48.67,63.96,0.1875,78.186942,75.13889429,81.10456985
27,Duzce,1.36,99.81,20.91,51.7,8.7,52.7018352,74,3087.827557,41.3,32.78,10.40261992,77.74897226,4961.283333,72.72,73.95,37.00032237,298.659,195.5584,12.14996548,52.77,107,46.5782504,63.03790757,11.03,44.26,28.12551856,3.012243038,62.15,68.2,91.1,20.4236972,5.5,10.60107046,59.80202447,0,47.27,59.15077809,37.96945006,92.04,45.33,72.77,69.57,0.86294843,77.74897226,75.01346021,80.56555334
28,Edirne,1.53,82.07,13.685,50.1,7.8,53.14211455,78.48,6230.323773,39.35,47.43,6.923837784,77.74991779,4242.533865,73.99,81.04,42.48490946,303.8426,201.1922077,14.05293786,78.4,70,12.27794955,75.22732088,11.37,77.24,32.47726591,2.200959328,72.06,88.31,90.1,19.54307411,5.15,13.89902069,72.67825022,0,61.61,61.6418507,96.0202858,91.66,60.62,54.06,77.44,0.338565022,77.74991779,74.75840175,80.90920219
29,Elazig,1.35,89.48,23.9575,48.9,7.8,56.95119178,72.8,3475.932435,32.38,54.68,11.43292683,78.49099749,4052.610229,67.16,77.63,35.57074136,300.4578,202.1438762,14.38299383,70.44,32,19.87424065,80.95079938,18.69,43.94,17.58232484,2.317350414,62.87,83.63,86.9,19.3412051,7.46,6.616404661,77.19774665,563.8738739,55.08,42.90808136,47.22788275,89.17,50.56,51.73,76.64,0.273262332,78.49099749,76.00831173,80.92174699
30,Erzincan,1.38,89.04,22.5,47.7,6.7,63.27926458,79.82,4626.642758,34.16,44.59,8.690054715,79.05812046,5687.39375,70.38,74.6,39.00392475,313.8138,197.6111503,15.88268372,75.36,53,13.3674143,78.23746943,12.61,65.42,4.471611971,3.353708979,74.67,89.72,88.5,22.92550332,7.28,7.756905287,75.04661655,380.3508772,64.53,9.305424512,67.07417957,91.27,63.08,64.57,81.38,0.633127803,79.05812046,76.02480706,82.14065151
31,Erzurum,1.11,83.13,27.9975,46.7,6.6,59.91629345,79.21,1800.623592,30.77,50.29,12.75896918,77.31322095,3743.664755,73.59,79.57,27.89638978,275.0388,200.3680098,13.3497633,73.25,30,9.262816924,79.92714327,13.63,55.2,28.82146413,1.838023372,70.83,85.61,86,23.17836148,7.48,6.269192475,99.5000131,544.5238095,50.36,64.40431274,60.76481685,90.85,57.64,65.68,80.39,0.664237668,77.31322095,74.90185325,79.74920176
32,Eskisehir,1.56,95.23,12.4125,42.9,8.5,66.80529248,80,6569.79023,42.27,44.2,9.876045551,77.54980116,4212.598022,73.99,75.51,41.20052827,323.2623,202.3589213,18.20980124,57.71,31,25.17951289,98.90940762,21.54,80.95,17.23458735,2.391914516,61.1,77.23,90.7,18.12951006,5.62,15.54535159,95,3.146067416,66.21,144.0179978,152.9064901,86.21,48.82,62.69,72.52,0.58043722,77.54980116,75.16498017,79.95018119
33,Gaziantep,0.99,87.14,19.545,43.6,6.9,52.66657169,73.6,2467.560147,27.94,58.67,17.7236507,76.711052,5915.950594,70.13,81.44,25.04919773,261.788,197.7860678,10.95494493,80.35,58,12.18991621,99.63188541,19.94,74.77,48.69100582,1.974631986,63.06,86.58,85.4,21.36788475,3.98,7.11629635,91.50000582,715.6930693,73.58,67.76782435,130.4410876,89.75,59.06,58.09,73.08,0.451513453,76.711052,73.90568202,79.45871907
34,Giresun,1.57,96.21,17.42,47.9,6.5,49.11278464,82.32,4701.274931,29.71,47.26,9.654580562,80.08667887,7001.218085,72.53,85.12,47.22524483,315.211,195.250575,12.60843904,83.72,49,36.07758007,64.20480762,13.46,67.67,25.58234725,2.223338543,77.76,90.93,87,22.12176972,6.01,8.89777294,58.62136731,53.1,65.85,32.86192044,32.05235544,92.19,65.55,65.46,85.11,0.658071749,80.08667887,75.94558251,84.33418308
35,Gumushane,1.39,88.69,19.5675,46.3,7.2,59.13549427,82.74,2668.465969,33.36,43.55,12.86863271,79.86062537,6634.592105,69.32,84.75,28.75744869,321.9805,198.3032245,13.77195105,84.14,63,27.33908218,67.92631514,9.85,62.56,6.832794681,2.623793158,78.31,88.39,82.9,17.80523322,8.59,6.055905926,71.10581949,217.3039216,61.47,1.342644155,0,89.83,57.32,61.05,80.59,0.534473094,79.86062537,76.11677899,83.59533906
36,Hakkari,0.83,97.38,37.65,39.9,11.7,58.32068791,72.07,689.3592532,23.75,61.91,16.05978693,77.32805811,5764.06,77.22,54.55,23.53272343,235.3365,178.9714442,12.89295175,48.18,85,21.45637773,59.96612218,17.97,30.96,32.57482256,0.705787822,66.18,61.79,80.8,12.44412006,4.91,3.010999432,36.15226196,2.298994975,23.46,0.286658439,0,93.33,60.13,70.58,81.71,0.801569507,77.32805811,75.44986381,79.05576729
37,Hatay,1.11,85.82,25.635,40.3,12.2,58.76149605,71.76,4695.440824,30.09,53.71,11.78985758,77.85906997,6274.564155,70.14,70.86,41.04929453,292.1988,200.3422663,12.20708758,64.86,61.5,38.18374366,97.74605023,19.3,55.53,34.87218358,2.397627112,62.29,79.31,89.1,19.24949903,5.03,7.430801744,88.00002105,253.531746,51.01,42.78047105,74.35012725,86.27,48.51,50.31,74.68,0.233464126,77.85906997,75.59786353,80.15557621
38,Igdir,1.05,60.71,34.59,54.5,6.9,50.62224507,72.6,2216.676386,30,65.32,13.630463,78.27026534,8006.652174,66.64,72.08,31.01035276,248.4854,191.5630673,11.71120791,77.81,106,0.043941048,62.27350356,21.74,33.95,15.62044404,1.343358187,68.16,85.05,84.9,20.06626013,7.52,4.439850877,45.56301287,84.12121212,39.62,0.833090349,0,88.9,41.95,59.6,81.97,0.493834081,78.27026534,75.90208348,80.62182199
39,Isparta,1.52,94.64,9.5125,49.5,8.7,54.54712806,90.92,6220.846268,28.11,33.52,9.433962264,78.70437248,3847.127841,79.38,89.13,39.888571,324.6267,201.9858982,15.62055402,86.61,75,41.64956405,75.79653995,9.92,81.1,9.551554515,3.503032619,79.29,92,90.4,20.08125198,5,10.44319213,75.45107216,19.68023256,73.38,62.66130188,62.08510435,93.76,77.11,70.35,85.79,0.795123318,78.70437248,76.24765718,81.15296086
