Seq,Province,Number of rooms per person  ,Toilet presence percentage in dwellings,Percentage of house holds having problems with quality of dwellings,Employment rate,Unemployment rate,Average daily earnings,Job satisfaction rate,Savings deposit per capita,Percentage of house holds in middle or higher income groups,Percentage of house holds declaring to fail on meeting basic needs,Infant mortality rate,Life expectancy at birth,Number of applications per doctor ,Satisfication rate with health status,Satisfication rate with public health services,Net schooling ratio of pre-primary education between the ages of 3and5,Average point of placement basic scores of the system for Transition to Secondary Education from Basic Education,Average points of the Transition to Higher Education Examination,Percentage of higher education graduates,Satisfaction rate with public education services,Average of PM10 values of the stations (airpollution),Forest area per km2,Percentage of population receiving waste services,Percentage of households having noise problems from the streets,Satisfaction rate with municipal cleaning services,Murder rate (per million people),Number of traffic accidents involving death or injury (per thousand people),Percentage of people feeling safe when walking alone at night,Satisfication rate with public safety services,Voter turnout at local administrations,Rate of membership to political parties,Percentage of persons interested in union/association activities,Number of internet subscriptions (per hundred persons) ,Access rate of population to sewerage and pipesystem,Access rate to airport,Satisfaction rate with municipal public transport services,Number of cinema and theatre audience (per hundred persons),Shopping mall area per thousand people,Satisfication rate with social relations,Satisfication rate with social life,Level of happiness,Hopeful,Life Satisfaction Index,Life Expectancy Total,Life Expectancy Male,Life Expectancy Female
51,Kilis,1.14,69.7,27.0125,41.1,7.7,46.86633477,73.87,1339.281416,23.63,58.79,25.72782668,74.95499626,6055.929648,70.17,78.99,30.03090939,257.9184,202.7610077,11.78992051,82.02,29,13.57082153,73.04757689,14.84,34.17,46.59072379,4.480474604,65.26,86.15,88.4,27.7333942,5.33,5.26164574,72.92613041,298.0824742,35.21,20.6567739,0,90.64,50.83,60.85,74.33,0.528867713,74.95499626,72.25722261,77.64178161
52,Kocaeli,1.3,99.59,17.1625,49.2,10.1,81.99503484,75.29,5489.022199,53.47,43.89,8.483705898,77.88120099,5589.277095,73.31,70.54,36.09933813,309.1093,200.9323328,15.70308781,66.54,55.75,43.14601119,100,24.38,68.78,21.47672822,2.061765909,49.02,74.29,91.1,24.88264665,13.19,12.56481473,98.9999971,1768.850889,59.18,87.80702289,142.471391,81.09,51.5,57.19,76.37,0.426289238,77.88120099,75.52977618,80.29554131
53,Konya,1.37,92.12,11.8375,46.2,4.7,54.69597034,84.75,4062.085311,37.34,45.27,10.44450504,78.10215248,4623.256101,78.03,82.04,31.84636025,299.2418,202.6441967,12.95263625,78.22,55.5,12.06792693,99.00104988,15.5,82.71,16.59705388,3.091794037,63.91,87.15,90.1,26.79289243,4.51,8.964732683,93.99999905,452.8571429,78.06,73.68200424,106.3401694,88.16,66.28,65.57,81.21,0.661154709,78.10215248,75.55920816,80.59769824
54,Kutahya,1.42,97.79,14.16,49.3,6,60.32229993,87.96,3350.859236,38.6,34.53,10.49453709,76.87937355,6571.951429,80.76,85.07,37.2215953,318.5351,199.8362245,12.05953288,85.49,66,52.68050542,74.52669739,6.36,60.99,24.49462343,2.368980009,79.36,91.23,91.6,20.04175082,4.36,9.009472421,74.42787558,15.66666667,58.08,35.91314207,109.2407717,93.66,80.88,73.76,82.09,0.890695067,76.87937355,74.55730049,79.23442613
55,Malatya,1.32,90.25,23.8025,49.9,7.8,51.94386982,78.12,3430.453619,28.86,54.51,12.88008478,78.8267724,4313.007246,71.14,77.78,34.01015228,309.433,203.862841,15.53697373,69.06,43,15.34603149,98.0493578,16.36,65.56,24.68994625,1.937511046,68.02,86.24,87,21.10833655,7.24,6.885246328,87.00002859,171.6262976,62.74,63.76321562,83.82496647,86.97,52.43,53.92,79.37,0.334641256,78.8267724,75.89727214,81.79591394
56,Manisa,1.36,78.74,15.8175,52.7,5.1,63.02865838,77.26,3764.830891,28.43,44.61,9.438801683,77.36032837,5618.677536,74.18,85.22,32.7707241,302.9016,196.5054695,11.52054666,81.58,86,40.0816403,98.80761456,8.49,78.64,27.04866201,3.050650447,71.54,88.18,93.1,18.42314282,3.54,8.198449454,94.00002193,969.4728435,76.81,42.55982689,41.91957775,91.9,65.5,63.92,74.48,0.614910314,77.36032837,74.39683601,80.42083389
57,Mardin,0.77,57.96,33.175,29.7,20.6,49.04175679,67.27,1030.22829,23.41,66.71,16.21947264,80.32109218,7240.28,59.15,68.34,26.39615961,241.9438,189.036316,10.21062043,67.29,58,14.45432802,95.61495876,15.32,46.43,24.08123742,1.261096381,69.93,75.22,83.8,17.05032396,4.66,3.126378334,83.99998226,228.7647059,45.6,10.7075321,50.06362516,83.5,36.07,51.6,69.97,0.269618834,80.32109218,76.85274987,83.6862249
58,Mersin,1.3,87.44,18.7175,44.4,12.4,55.98491926,72.7,5218.290872,29.64,62.75,12.78187675,78.25269856,6184.05053,67.08,74.66,45.25372085,297.3683,201.7881985,14.50808193,72.39,52,51.2196752,96.76523964,26.56,69,28.94766552,3.11129509,52.09,82.11,89.3,18.30576382,5.04,10.11773016,90,468.3982036,61.41,62.77949695,100.129975,84.5,50.62,52.84,70.96,0.304372197,78.25269856,75.54472802,81.02249135
59,Mugla,1.38,89.53,17.565,51.5,7.3,57.72217833,81.45,10527.43349,38.94,51.31,6.871318936,80.48257739,5374.685495,72.24,71.48,38.33912242,324.5028,198.7954955,16.09352455,66.79,81,66.48696064,94.85516524,17.19,70.08,52.54279163,4.593581507,63.82,79.77,90.6,19.63173505,6.76,14.49275524,83.00000335,318.2252,53.33,56.06304688,175.1631342,83.96,52.05,52.4,72.3,0.292040359,80.48257739,77.67751307,83.47814746
60,Mus,0.82,65.56,30.8625,41.2,10.4,59.03781096,69.4,759.0584997,22.61,69.29,13.15677786,77.54154278,7079.763587,64.4,61.47,26.90665518,251.713,191.2355412,8.930490535,63.66,99,8.423815029,48.31877894,15.36,36.65,21.88630793,1.0748609,54.52,78.03,82,16.89620379,4.02,2.198114859,41.96565795,125.7142857,35.8,9.063120112,0,91.27,25.67,54.67,70.62,0.355661435,77.54154278,74.20078612,80.92319253
61,Nevsehir,1.47,89.68,13.7925,47.5,6,49.89355234,81.39,6201.39738,36.65,45.18,7.023108292,77.58422644,6993.441791,73.23,85.62,46.66537979,310.3099,199.8982057,11.87583064,76.85,47,1.286235187,75.28646288,11.68,69.37,20.96069869,3.287336245,69.09,85.45,90.6,19.73453979,4.86,9.980087336,71.67458515,150.3012048,64.43,41.58008734,90.94847162,88.73,43.56,64.53,76.71,0.632006726,77.58422644,74.91713303,80.19410334
62,Nigde,1.31,81.69,16.235,46.3,6.1,52.19703042,81.59,2927.885594,27.95,50.46,10.31442356,78.3593775,7459.175637,77.35,84.41,31.63328945,294.317,202.5297825,11.75548071,81.55,68,7.128283108,73.2950875,7.14,61.45,26.17055057,2.439676881,76.23,89.74,91.8,20.80575515,5.52,6.549034888,66.03004379,0,63.59,19.23012056,0,89,57.25,64.94,75.65,0.643497758,78.3593775,75.35933156,81.34635352
63,Ordu,1.37,99.19,24.5125,49,6.1,51.08144945,77.7,3464.492425,29.89,52.99,8.36461126,79.76120885,6533.621651,68.62,81.63,34.93909427,307.4032,196.7605243,11.08763859,77.75,48,34.10987886,87.87977655,15.77,54.47,22.09127008,1.96060022,66.58,88.55,86.8,20.58271061,7.27,7.119187925,67.49994477,85.64516129,54.4,29.82114355,10.76949417,88.39,45.34,58.19,80.89,0.454316143,79.76120885,76.62657118,82.99228486
64,Osmaniye,1.05,79.37,20.1675,37.8,14,53.66823561,73.29,1925.527864,29.11,57.99,10.91362644,78.5792232,6976.245875,66.46,78.39,28.63619031,309.4641,198.8933873,13.86773521,73.4,68,45.95662651,77.65016071,25.65,79.2,29.59706555,3.433259604,64.47,85.26,89.6,23.15944053,4.48,5.216778774,72.01143631,309.7920792,61.51,44.22393534,39.01682495,88.98,39.89,45.77,78.13,0.106221973,78.5792232,75.90717004,81.25111856
65,Rize,1.56,97.92,14.6975,48.1,6.7,57.39645704,91.6,3899.884468,37.7,42.68,8.442776735,79.62947026,5971.152397,77.49,86.24,39.10305344,306.6709,194.4762753,13.47096057,84.43,30,44.31942634,67.18458422,12.56,75.5,30.32333775,2.453158024,85.27,90.66,85.2,34.72953181,7.39,10.74810707,59.09760779,305.3030303,68.61,20.93947765,0,89.95,67.63,61.55,85.53,0.548486547,79.62947026,75.31943637,83.66851992
